    Gen1_interval, Fraction_of_volume,     Gen2_interval, Fraction_of_volume,     Gen3_interval, Fraction_of_volume,     ISS1_interval, Fraction_of_volume,      PO4_interval, Fraction_of_volume,       DO_interval, Fraction_of_volume, 
   20.0000,  0.1000E+01,   20.0000,  0.0000E+00,   20.0000,  0.2069E-02,   20.0000,  0.2276E-03,   20.0000,  0.0000E+00,   10.0000,  0.6118E-01,
   19.0000,  0.0000E+00,   19.0000,  0.0000E+00,   19.0000,  0.5079E-04,   19.0000,  0.2578E-04,   19.0000,  0.0000E+00,    9.5000,  0.3524E-01,
   18.0000,  0.0000E+00,   18.0000,  0.0000E+00,   18.0000,  0.4278E-04,   18.0000,  0.3001E-04,   18.0000,  0.0000E+00,    9.0000,  0.4378E-01,
   17.0000,  0.0000E+00,   17.0000,  0.0000E+00,   17.0000,  0.4635E-04,   17.0000,  0.2996E-04,   17.0000,  0.0000E+00,    8.5000,  0.6415E-01,
   16.0000,  0.0000E+00,   16.0000,  0.0000E+00,   16.0000,  0.4036E-04,   16.0000,  0.3443E-04,   16.0000,  0.0000E+00,    8.0000,  0.7275E-01,
   15.0000,  0.0000E+00,   15.0000,  0.0000E+00,   15.0000,  0.5950E-04,   15.0000,  0.4007E-04,   15.0000,  0.0000E+00,    7.5000,  0.9172E-01,
   14.0000,  0.0000E+00,   14.0000,  0.0000E+00,   14.0000,  0.7368E-04,   14.0000,  0.4770E-04,   14.0000,  0.0000E+00,    7.0000,  0.1233E+00,
   13.0000,  0.0000E+00,   13.0000,  0.0000E+00,   13.0000,  0.6321E-04,   13.0000,  0.5869E-04,   13.0000,  0.0000E+00,    6.5000,  0.8409E-01,
   12.0000,  0.0000E+00,   12.0000,  0.0000E+00,   12.0000,  0.6334E-04,   12.0000,  0.8290E-04,   12.0000,  0.0000E+00,    6.0000,  0.4997E-01,
   11.0000,  0.0000E+00,   11.0000,  0.0000E+00,   11.0000,  0.7318E-04,   11.0000,  0.1004E-03,   11.0000,  0.0000E+00,    5.5000,  0.2981E-01,
   10.0000,  0.0000E+00,   10.0000,  0.0000E+00,   10.0000,  0.9960E-04,   10.0000,  0.1217E-03,   10.0000,  0.0000E+00,    5.0000,  0.2438E-01,
    9.0000,  0.0000E+00,    9.0000,  0.0000E+00,    9.0000,  0.4672E-03,    9.0000,  0.1527E-03,    9.0000,  0.0000E+00,    4.5000,  0.2003E-01,
    8.0000,  0.0000E+00,    8.0000,  0.0000E+00,    8.0000,  0.4637E-03,    8.0000,  0.2378E-03,    8.0000,  0.0000E+00,    4.0000,  0.1784E-01,
    7.0000,  0.0000E+00,    7.0000,  0.0000E+00,    7.0000,  0.8528E-03,    7.0000,  0.2682E-03,    7.0000,  0.0000E+00,    3.5000,  0.1630E-01,
    6.0000,  0.0000E+00,    6.0000,  0.0000E+00,    6.0000,  0.5992E-03,    6.0000,  0.3816E-03,    6.0000,  0.0000E+00,    3.0000,  0.1576E-01,
    5.0000,  0.0000E+00,    5.0000,  0.0000E+00,    5.0000,  0.1223E-02,    5.0000,  0.6848E-03,    5.0000,  0.0000E+00,    2.5000,  0.1550E-01,
    4.0000,  0.0000E+00,    4.0000,  0.0000E+00,    4.0000,  0.1232E-02,    4.0000,  0.9117E-03,    4.0000,  0.0000E+00,    2.0000,  0.1571E-01,
    3.0000,  0.0000E+00,    3.0000,  0.0000E+00,    3.0000,  0.1790E-02,    3.0000,  0.1458E-02,    3.0000,  0.0000E+00,    1.5000,  0.1654E-01,
    2.0000,  0.0000E+00,    2.0000,  0.0000E+00,    2.0000,  0.2509E-02,    2.0000,  0.3488E-02,    2.0000,  0.0000E+00,    1.0000,  0.1866E-01,
    1.0000,  0.0000E+00,    1.0000,  0.1000E+01,    1.0000,  0.9882E+00,    1.0000,  0.9916E+00,    1.0000,  0.1000E+01,    0.5000,  0.1833E+00,

Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,

Average,  0.1000E+03,Average,  0.0000E+00,Average,  0.3492E+00,Average,  0.1661E+00,Average,  0.3644E-01,Average,  0.5785E+01,
